date,origin_district,origin_municplty,item,Cesium_134_Plus_Cesium_137C
2014-09-17,Kenchu,Koriyama city,Black bear,17
2014-09-18,Kenchu,Koriyama city,Black bear,47
2014-09-19,Soso,Futaba county Tomioka town,Wild boar,430
2014-09-20,Soso,Soma city,Wild boar,110
2014-09-20,Kempoku,Fukushima city,Black bear,430
2014-09-21,Kempoku,Fukushima city,Ducks,13
2014-09-21,Kempoku,Fukushima city,Ducks,33
2014-09-23,Kempoku,Nihommatsu city,Wild boar,140
2014-09-23,Soso,Futaba county Tomioka town,Wild boar,340
2014-09-23,Soso,Futaba county Tomioka town,Wild boar,4000
2014-09-24,Soso,Soma city,Wild boar,130
2014-09-25,Kenchu,Sukagawa city,Wild boar,86
2014-09-26,Kempoku,Nihommatsu city,Wild boar,190
2014-09-26,Aizu,Onuma county Aizumisato town,Black bear,24
2014-09-28,Soso,Soma city,Wild boar,67
2014-09-29,Kenchu,Sukagawa city,Wild boar,110
2014-09-29,Kenchu,Koriyama city,Black bear,29
2014-10-01,Kenchu,Koriyama city,Wild boar,49
2014-10-02,Kempoku,Fukushima city,Black bear,87
2014-10-03,Kenchu,Sukagawa city,Wild boar,100
2014-10-04,Soso,Minamisoma city,Wild boar,310
2014-10-07,Minamiaizu,Minamiaizu county Hinoemata village,Japanese sika deer,35
2014-10-08,Kenchu,Koriyama city,Black bear,45
2014-10-13,Kempoku,Fukushima city,Wild boar,240
2014-10-15,Kennan,Higashishirakawa county Samegawa village,Wild boar,290
2014-10-16,Kenchu,Koriyama city,Black bear,81
2014-10-17,Kempoku,Nihommatsu city,Wild boar,250
2014-10-18,Kenchu,Tamura city,Ducks,79
2014-10-18,Kenchu,Tamura city,Pheasant,11
2014-10-18,Kenchu,Tamura city,Pheasant,31
2014-10-19,Kenchu,Sukagawa city,Wild boar,230
2014-10-21,Aizu,Yama county Inawashiro town,Wild boar,47
2014-10-21,Kempoku,Nihommatsu city,Wild boar,340
2014-10-22,Soso,Soma city,Wild boar,330
2014-10-23,Soso,Soma city,Pheasant,65
2014-10-24,Aizu,Yama county Inawashiro town,Wild boar,13
2014-10-28,Aizu,Yama county Inawashiro town,Black bear,85
2014-11-01,Kenchu,Tamura city,Copper pheasant,220
2014-11-02,Kenchu,Tamura city,Copper pheasant,1100
2014-11-05,Kempoku,Nihommatsu city,Wild boar,360
2014-11-08,Kempoku,Nihommatsu city,Wild boar,790
2014-11-10,Kenchu,Sukagawa city,Wild boar,300
2014-11-10,Kenchu,Ishikawa county Hirata village,Copper pheasant,81
2014-11-14,Kenchu,Sukagawa city,Wild boar,280
2014-11-14,Kempoku,Nihommatsu city,Wild boar,920
2014-11-15,Kempoku,Nihommatsu city,Wild boar,580
2014-11-15,Kempoku,Nihommatsu city,Wild boar,1100
2014-11-16,Kenchu,Koriyama city,Wild boar,230
2014-11-17,Kempoku,Nihommatsu city,Wild boar,920
2014-11-17,Kenchu,Ishikawa county Ishikawa town,Ducks,27
2014-11-18,Kempoku,Nihommatsu city,Wild boar,1100
2014-11-18,Kempoku,Nihommatsu city,Wild boar,740
2014-11-18,Kempoku,Nihommatsu city,Wild boar,960
2014-11-18,Soso,Futaba county Tomioka town,Wild boar,10000
2014-11-18,Kenchu,Ishikawa county Ishikawa town,Ducks,27
2014-11-18,Kenchu,Ishikawa county Ishikawa town,Pheasant,13
2014-11-19,Kempoku,Motomiya city,Wild boar,500
2014-11-22,Kenchu,Sukagawa city,Wild boar,1700
2014-11-23,Kempoku,Nihommatsu city,Wild boar,800
2014-11-26,Soso,Futaba county Katsurao village,Wild boar,7900
2014-11-27,Soso,Futaba county Tomioka town,Wild boar,15000
2014-11-28,Kenchu,Sukagawa city,Wild boar,340
2014-12-05,Soso,Futaba county Katsurao village,Wild boar,10000
2014-12-08,Kempoku,Date county Kunimi town,Wild boar,1100
2014-12-09,Kempoku,Date county Kunimi town,Wild boar,800
2014-12-11,Kempoku,Nihommatsu city,Wild boar,540
2014-12-12,Kempoku,Nihommatsu city,Wild boar,770
2014-12-14,Kenchu,Sukagawa city,Wild boar,400
2014-12-14,Kempoku,Date county Kunimi town,Wild boar,1200
2014-12-17,Kempoku,Nihommatsu city,Wild boar,290
2014-12-21,Soso,Minamisoma city,Wild boar,1400
2014-12-21,Soso,Minamisoma city,Wild boar,1500
2014-12-21,Soso,Minamisoma city,Wild boar,1600
2014-12-24,Kempoku,Nihommatsu city,Wild boar,1200
2014-12-25,Kempoku,Date county Kunimi town,Wild boar,1100
2014-12-25,Kempoku,Nihommatsu city,Wild boar,400
2014-12-25,Kempoku,Nihommatsu city,Wild boar,720
2014-12-25,Kempoku,Nihommatsu city,Wild boar,770
2014-12-27,Kempoku,Date county Kunimi town,Wild boar,270
2014-12-28,Kempoku,Date county Kunimi town,Wild boar,800
2014-12-31,Kempoku,Date county Kunimi town,Wild boar,540
2015-01-01,Kempoku,Date county Kunimi town,Wild boar,1700
2015-01-02,Kempoku,Date city,Wild boar,1000
2015-01-07,Kempoku,Date county Kunimi town,Wild boar,390
2015-01-11,Kempoku,Date county Kunimi town,Wild boar,570
2015-01-11,Kempoku,Date county Kunimi town,Wild boar,740
2015-01-13,Kempoku,Date county Kunimi town,Wild boar,310
2015-01-14,Aizu,Yama county Nishiaizu town,Wild boar,39
2015-01-14,Kenchu,Sukagawa city,Wild boar,440
2015-01-15,Kempoku,Date county Kunimi town,Wild boar,480
2015-01-15,Kennan,Shirakawa city,Pheasant,41
2015-01-16,Aizu,Yama county Nishiaizu town,Wild boar,24
2015-01-16,Kempoku,Date county Kunimi town,Wild boar,400
2015-01-16,Kempoku,Date county Kunimi town,Wild boar,760
