﻿Sampling date,Announcement date,Sampling point,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Type of sample,131I Radioactivity concentration (Bq/kg),131I Detection limit (Bq/kg),134Cs Radioactivity concentration (Bq/kg),134Cs Detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs Detection limit (Bq/kg),134Cs+137Cs Radioactivity concentration (Bq/kg),134Cs+137Cs Detection limit (Bq/kg),134Cs+137CsExceeded reference value ,89SrRadioactivity concenteration(Bq/kg),89SrDetectedLower Limit (Bq/kg),90SrRadioactivity concenteration(Bq/kg),90SrDetectedLower Limit (Bq/kg),238PuRadioactivity concenteration(Bq/kg),238PuDetectedLower Limit (Bq/kg),239Pu+240PuRadioactivity concenteration(Bq/kg),239Pu+240PuDetectedLower Limit (Bq/kg),241Am Radioactivity concentration (Bq/kg),241Am DetectedLower Limit (Bq/Kg),Remarks
2014-07-09,2014-11-27,,37.466666,141.333333,27.0,Pacific cod,ND,,9.5E-01,,2.9E+00,,,,,ND,5.8E-02,ND,1.1E-02,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
2014-09-01,2015-03-30,,33.266666,132.533333,898.1,Red sea bream,ND,,ND,3.6E-02,1.1E-01,,,,,ND,2.3E-01,ND,3.3E-02,ND,2.3E-03,ND,2.4E-03,ND,1.8E-03,Portion measured - whole body (without internal organs)
2014-09-04,2015-03-30,,45.966666,153.500000,1402.1,Pacific saury,ND,,2.9E-02,,1.3E-01,,,,,ND,7.4E-02,ND,1.0E-02,ND,1.1E-03,ND,1.1E-03,ND,7.9E-04,Portion measured - whole body
2014-09-09,2015-03-30,Iwate prefecture Ryori Maehama,,,,Halocynthia roretzi,ND,,4.2E-02,,1.2E-01,,,,,ND,5.5E-02,ND,9.5E-03,ND,4.1E-04,ND,4.1E-04,ND,4.2E-04,Portion measured - whole body (edible portion)
2014-09-09,2015-03-30,Miyagi prefecture Onagawa bay Oshika Peninsula east,,,,Halocynthia roretzi,ND,,1.7E-02,,7.0E-02,,,,,ND,8.4E-02,ND,1.3E-02,ND,1.0E-03,ND,1.0E-03,ND,1.1E-03,Portion measured - whole body (edible portion)
2014-09-16,2015-03-30,,38.350000,142.383333,157.2,Alaska pollock,ND,,5.7E-02,,2.7E-01,,,,,ND,1.1E-01,ND,1.7E-02,ND,8.6E-04,ND,8.1E-04,ND,7.0E-04,Portion measured - whole body (without internal organs)
2014-09-16,2015-03-30,,33.266666,132.533333,898.1,Red sea bream,ND,,ND,3.4E-02,1.2E-01,,,,,ND,2.1E-01,ND,3.3E-02,ND,2.7E-03,ND,2.3E-03,ND,1.3E-03,Portion measured - whole body (without internal organs)
2014-09-18,2015-03-30,Miyagi prefecture Onagawa bay Oshika Peninsula east,,,,Scallop ,ND,,3.0E-02,,6.4E-02,,,,,ND,7.4E-02,ND,1.2E-02,ND,6.3E-04,ND,6.3E-04,ND,4.1E-04,Portion measured - whole body (edible portion)
2014-09-28,2015-03-30,,40.750000,141.966666,378.8,Blue mackerel,ND,,3.1E-02,,1.6E-01,,,,,ND,8.4E-02,ND,1.5E-02,ND,1.2E-03,ND,1.3E-03,ND,6.3E-04,Portion measured - whole body (without internal organs)
2014-09-28,2015-03-30,,40.866666,141.816666,389.0,Blue mackerel,ND,,2.4E-02,,1.3E-01,,,,,ND,8.4E-02,ND,1.6E-02,ND,1.3E-03,ND,1.3E-03,ND,6.7E-04,Portion measured - whole body (without internal organs)
2014-09-29,2015-03-30,Miyagi prefecture Utatsu Koizumi Isatomae beach,,,,Halocynthia roretzi,ND,,2.9E-02,,1.0E-01,,,,,ND,5.9E-02,ND,1.1E-02,ND,1.5E-03,ND,1.3E-03,ND,1.2E-03,Portion measured - whole body (edible portion)
2014-09-30,2015-03-30,,38.000000,175.000000,2972.0,Mako,ND,,1.9E-01,,9.0E-01,,,,,ND,6.7E-02,ND,1.3E-02,ND,1.1E-03,ND,1.1E-03,ND,4.2E-04,Portion measured - whole body (without internal organs and head)
2014-09-30,2015-03-30,,38.000000,175.000000,2972.0,Mako,ND,,2.3E-01,,1.0E+00,,,,,ND,5.7E-02,ND,1.0E-02,ND,9.4E-04,ND,9.4E-04,ND,4.3E-04,Portion measured - whole body (without internal organs and head)
2014-10-15,2015-03-30,,40.933333,141.183333,390.7,Scallop ,ND,,ND,2.2E-02,ND,2.9E-02,,,,ND,4.8E-02,ND,1.1E-02,ND,9.5E-04,2.2E-03,,1.5E-03,,Portion measured - whole body (edible portion)
2015-03-15,2015-07-31,,37.333333,141.100000,11.5,Rockfish,,,1.7E+00,,6.8E+00,,,,,ND,3.2E-01,4.3E-02,,,,,,,,Portion measured - whole body (without internal organs)
