Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2013-08-14,14:47,2013-08-15,14:47,,,2013-08-14,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,2.0E-01,ND,,ND,,2.2E-04,,ND,,ND,
2013-08-28,13:11,2013-08-29,13:11,,,2013-08-28,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,2.1E-04,,ND,,ND,
2013-08-28,13:35,2013-08-29,13:35,,,2013-08-28,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,3.5E-04,,8.7E-04,,ND,,ND,
2013-08-28,14:03,2013-08-29,14:03,,,2013-08-28,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.8E+00,ND,,ND,,5.4E-04,,ND,,ND,
2013-08-28,14:32,2013-08-29,14:32,,,2013-08-28,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.8E+00,ND,,ND,,6.5E-04,,ND,,ND,
2013-08-28,14:50,2013-08-29,14:50,,,2013-08-28,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,2.5E-04,,ND,,ND,
2013-09-11,13:08,2013-09-12,13:08,,,2013-09-11,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,4.4E-04,,ND,,ND,
2013-09-11,13:34,2013-09-12,13:34,,,2013-09-11,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,5.9E-04,,1.4E-03,,ND,,ND,
2013-09-11,09:10,2013-09-11,15:10,,,2013-09-11,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.7E+00,ND,,1.3E-03,,3.3E-03,,ND,,ND,
2013-09-11,14:03,2013-09-12,14:03,,,2013-09-11,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.7E+00,ND,,6.9E-04,,1.9E-03,,ND,,ND,
2013-09-11,14:36,2013-09-12,14:36,,,2013-09-11,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.2E+00,ND,,ND,,5.4E-04,,ND,,ND,
2013-09-11,14:58,2013-09-12,14:58,,,2013-09-11,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-09-25,13:08,2013-09-26,13:08,,,2013-09-25,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,ND,,ND,,ND,
2013-09-25,13:33,2013-09-26,13:33,,,2013-09-25,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,2.5E-04,,ND,,ND,
2013-09-25,14:02,2013-09-26,14:02,,,2013-09-25,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.7E+00,ND,,ND,,6.4E-04,,ND,,ND,
2013-09-25,14:23,2013-09-26,14:23,,,2013-09-25,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.7E+00,ND,,ND,,4.6E-04,,ND,,ND,
2013-09-25,14:40,2013-09-26,14:40,,,2013-09-25,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-10-09,13:08,2013-10-10,13:08,,,2013-10-09,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,3.0E-04,,6.9E-04,,ND,,ND,
2013-10-09,13:34,2013-10-10,13:34,,,2013-10-09,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,3.5E-04,,ND,,ND,
2013-10-09,09:33,2013-10-09,15:33,,,2013-10-09,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.5E+00,ND,,ND,,3.5E-03,,ND,,ND,
2013-10-09,14:05,2013-10-10,14:05,,,2013-10-09,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.7E+00,ND,,2.8E-04,,5.7E-04,,ND,,ND,
2013-10-09,14:24,2013-10-10,14:24,,,2013-10-09,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.4E+00,ND,,ND,,5.8E-04,,ND,,ND,
2013-10-09,14:42,2013-10-10,14:42,,,2013-10-09,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
